bicipuerto,      status,      available-bikes,      capacity,      free-space,      long,      station-desc,      lat
GDL-002,In Service,2,15,13,-103.366, C. Colonias esquina Av. Niños héroes,20.667228
GDL-003,In Service,7,19,12,-103.368252, C. Vidrio esquina Av. Chapultepec,20.66769
GDL-004,In Service,2,11,9,-103.36255, C. Ghilardi esquinaC. Miraflores,20.69175
GDL-005,In Service,5,11,6,-103.338863, C. San Diego esquina Calzada Independencia,20.681151
GDL-006,In Service,6,11,5,-103.3443801, C. Venustiano Carranza esquina C. Reforma,20.6807519
GDL-007,In Service,4,15,11,-103.350562,C. Epigmenio Glez.esquinaAv. Cristobal C.,20.666771
GDL-008,In Service,3,15,10,-103.350396, C. J. Angulo esquina C. González Ortega,20.681871
GDL-009,In Service,0,19,19,-103.353835, Calz. Federalismoesquina C. J. Angulo,20.681984
GDL-010,In Service,9,11,2,-103.357267, C. Cruz verde esquina C. Joaquin Angulo,20.681786
GDL-011,In Service,7,11,4,-103.360099, C. Garibaldi esquina C. Frías,20.681081
GDL-012,In Service,6,11,5,-103.36292, C. Joaquín Angulo esquina C. Ghilardi,20.681989
GDL-013,In Service,3,11,7,-103.370499, C. Vidrio esquina C. Marsella,20.667623
GDL-014,In Service,1,15,12,-103.365969,C. J. AnguloesquinaC. José Clemente Orozco,20.682059
GDL-015,In Service,5,15,10,-103.369349, C. Herrera y Cairo esquina C. Pedro Buzeta,20.683191
GDL-016,In Service,6,15,9,-103.372642,C. Bernardo de BalbuenaesquinaC. J. Angulo,20.682007
GDL-017,In Service,12,15,2,-103.372841, Av. México esquina C. Bernardo de Balbuena,20.679086
GDL-018,In Service,3,11,8,-103.370658, Av. México esquina C. Manuel M. Diéguez,20.679296
GDL-019,In Service,0,19,19,-103.368045, C. Juan Manuel esquina C. Andrés Terán,20.678835
GDL-020,In Service,6,15,9,-103.36573, C. Juan Manuel esquina C. General Coronado,20.678714
GDL-021,In Service,9,15,6,-103.362224, C. Nicolás Romero esquina C. Reforma,20.67966
GDL-022,In Service,9,15,6,-103.35913,C. San Felipe esquinaC. Enrique D. de León,20.679389
GDL-023,In Service,8,15,7,-103.356281, C. Jesús esquina C. San Felipe,20.679309
GDL-024,In Service,8,15,6,-103.354035, Av. Federalismo esquina C. Juan Manuel,20.678777
GDL-025,In Service,15,15,0,-103.350146, C. Reforma esquina C. González Ortega,20.680227
GDL-026,In Service,3,15,11,-103.348377, C. Pedro Loza esquina C. Reforma,20.680478
GDL-027,In Service,11,11,0,-103.345198, C. Belén esquina C. San Felipe,20.679861
GDL-028,In Service,3,11,8,-103.36113, C. Gregorio Dávila esquina C. Manuel Acuña,20.684187
GDL-029,In Service,15,15,0,-103.339753,Calzada Independencia esquinaC. Juan Manuel,20.679505
GDL-030,In Service,7,15,8,-103.367501, C. Pedro Morenoesquina C. Progreso,20.675461
GDL-031,In Service,4,11,7,-103.368215, C. Hospital esquina C. Andrés Terán,20.685652
GDL-032,In Service,13,15,1,-103.344908, Av. Hidalgo esquina C. Belén,20.6772627
GDL-033,In Service,9,15,6,-103.347983, Av. Hidalgo esquina C. Pedro Loza,20.677419
GDL-034,In Service,8,11,3,-103.350244, C. Morelos esquina C. Donato Guerra,20.676461
GDL-035,In Service,7,11,4,-103.3534145, Andador Coronilla esquina Av. Hidalgo,20.677315
GDL-036,In Service,3,19,16,-103.356458, C. Marcos Castellanosesquina C. Morelos,20.676078
GDL-037,In Service,7,15,8,-103.358466, C. Juan N. Cumplido esquinaC. Independencia,20.678034
GDL-038,In Service,5,15,10,-103.362331, C. Nicolás Romero esquina Av. Hidalgo,20.676656
GDL-039,In Service,8,15,6,-103.365088, C. General Coronado esquina Av. Hidalgo,20.677108
GDL-040,In Service,7,15,8,-103.367049, C. Morelos esquina C. Progreso,20.676067
GDL-041,In Service,2,15,13,-103.37066, C. Manuel M. Diéguez esquina Av. Hidalgo,20.67671
GDL-042,In Service,14,15,1,-103.372687, C. Bernardo de Balbuena esquina Av. Hidalgo,20.676628
GDL-043,In Service,4,11,7,-103.372613, C. Simón Bolivar esquina C. López Cotilla,20.673756
GDL-044,In Service,1,15,14,-103.371639,C. Gral. San Martín esquinaAv. Vallarta,20.674636
GDL-045,In Service,16,19,2,-103.370147, C. Pedro Moreno esquina C. Marsella,20.675444
GDL-046,In Service,10,11,1,-103.365025, C. Emerson esquina Av. Vallarta,20.675014
GDL-047,In Service,3,15,12,-103.362351, C. Robles Gil esquina Av. Vallarta,20.674931
GDL-048,In Service,10,15,5,-103.358548, C. Escorza esquina Av. Vallarta,20.674721
GDL-049,In Service,4,33,29,-103.3548732, C. Marcos Castellanos esquinaAv. Vallarta,20.6745336
GDL-050,In Service,14,23,9,-103.354579, C. Pedro Moreno esquina Calz. Federalismo,20.675746
GDL-051,In Service,3,15,11,-103.352663, C. 8 de Julio esquina Av. Vallarta,20.674559
GDL-052,In Service,14,23,9,-103.347889, Av. Vallarta esquina Av. 16 de Sep.,20.675244
GDL-053,In Service,10,15,5,-103.345665, C. Maestranza esquina Av. Vallarta,20.675401
